,会社名,初年度年収,勤務地
0,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループ】,,【転勤なし】岩手・三重・熊本の各プロジェクト先への配属！ ☆U・Iターン歓迎！ ☆研修は岩手・三重…
1,FUJINO HOUSE ENGINEERING株式会社 | #大阪府緊急雇用対策に賛同#シンプルワーク#Web面談#副業可,300万円～500万円,【転勤なし／直行直帰の勤務スタイル／マイカー通勤OK】 ■担当エリアは阪神間・京阪間・名古屋地区■…
2,メットライフ生命保険株式会社 | 【年間休日121日（2021年）／賞与年4回／土日祝休み】,,【大阪梅田エイジェンシーオフィス】 ◆大阪府大阪市北区天満橋１-８-30 OAPタワー36F …→…
3,UTエイム株式会社 | 【東証一部上場グループ】★社宅費全額補助エリア多数あり！,300万円～500万円,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
4,株式会社ワット・コンサルティング | 有名施設も手掛けています☆未経験向け研修充実☆完全土日祝休,250万円～350万円,北海道から九州まで全国各地で大募集！ ※希望を考慮し配属します。 ※UIターンを考えている方も ご…
5,株式会社ハイロックス | ◆大手企業や官公庁との取引多数◆完全週休2日制（土日）,,《★駅チカ★U・Iターン歓迎》 大阪営業所／大阪府東大阪市長田中 2-2-30　長田エミネンスビル…
6,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2～5月は売上前年比”125％以上”,300万円～500万円,本社:戸越銀座駅徒歩4分 さいたま:宮原駅車7分/駐車場有 難波:なんば駅徒歩1分 神戸:三宮駅徒…
7,株式会社流通サービス | 【転居を伴う転勤なし】◎退職金、保養所…etc 福利厚生は豊富！,300万円～500万円,全国の営業所(希望考慮) [岩手] 奥州市/いわて県南、北上市/花北 [東京] 町田市/町田 [埼…
8,株式会社ONE | #ボーナス年間250万円の実績あり,280万円～400万円,【U・Iターン歓迎】◆大阪府吹田市江坂町1-23-43 ファサード江坂ビル601 ※御堂筋線『江坂…
9,株式会社ライフコーポレーション | 東証一部上場/賞与平均4.05ヶ月分【大阪府緊急雇用対策に賛同】,300万円～400万円,首都圏・近畿圏の各店舗 (282店舗) 【東京都】 千代田区・荒川区・台東区・北区・足立区・葛飾区…
10,株式会社E.G.T | ＼コロナ禍でも順調拡大中／◆年間休日120日以上！ノルマなし,,★10月にオフィスをリニューアル ★久屋大通駅より徒歩1分 ★転勤ナシ！ ■事務所 愛知県名古屋市…
11,東洋紡株式会社 | 【東証一部上場】新工場OPEN！★面接はWEB(スマホOK)で実施！★,300万円～450万円,【転勤なし！WEBで実施★全国からのご応募を歓迎】 福井県敦賀市東洋町10-24 ☆月5000円〜…
12,NITOH株式会社 | ★平均年収1144万円 ★1年で月給10万円UPの実績も ★20代活躍中,300万円～800万円,【転勤なし／UIターン歓迎】 ★「渋谷」駅からアクセス良好！駅チカの綺麗なオフィスで活躍♪ ◆本社…
13,中井エナジーテック株式会社 | 東京ガス・大阪ガスと両取引！都市ガスインフラを守る安定企業,350万円～550万円,【転勤なし】 関東事業所（埼玉県三郷市） または 大阪本社（大阪府茨木市）へ配属 ※独身寮あり（単…
14,株式会社HIPOWER　 | 年休120日超/残業20h程度/臨時ボーナス平均月8~15万円/昇給年4回,360万円～1000万円,【転勤なし/ UIターン歓迎/ 勤務地は希望を最大限考慮】 【テレワーク実施中です】 ★首都圏＆北…
15,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,300万円～500万円,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
16,株式会社ライジングサンセキュリティーサービス | ☆★新規事業拡大につき50名大募集★☆出張面接も行っています！,300万円～600万円,★福島エリアの各施設または下記支社★ ※転居を伴う、転勤はありません！ ※希望を考慮の上、配属を決…
17,株式会社ライジングサンセキュリティーサービス | ★面接保証あり★未経験歓迎★面接1回★未経験でも月給25万円～,300万円～600万円,★東京都品川区の官公庁施設 ★東京都新宿区（高田馬場にある私立大学） ※希望を考慮の上、配属を決定…
18,株式会社三恵 | 【 技術継承＆教育に力を入れています 】■資格取得支援あり,300万円～600万円,《 転勤なし 》 福岡もしくは広島のいずれかに配属します！ 【本社】 福岡県大野城市仲畑2-2-1…
19,株式会社UB | ◆基本定時退社◆有休消化率100％◆休みの希望は断りません！,350万円～1000万円,《転勤なし！川崎駅からスグ》 ※勤務地は希望に応じます。 神奈川県川崎市川崎区砂子1-4-2 小島…
20,フラッグシティパートナーズ株式会社 | 紹介営業のみで日本一の不動産ベンチャーを目指す。,600万円～2000万円,【　本社　】 〒150-0012 東京都渋谷区広尾5-25-12　バルビゾン72　7F
21,株式会社守エクスプレス | お電話での問合せも歓迎！092-935-2591 ※経験者も大歓迎です！,,《 転勤なし 》 本社（ 須恵町 ）もしくは、鹿児島（ 七ッ島 ） いずれかの希望勤務に配属します…
22,株式会社駅前不動産 | 駅前不動産ホールディングス！東証一部上場のリログループに参画,,福岡・佐賀エリアに展開している いずれかの店舗に配属いたします。 ※希望を最大限に考慮し、決定しま…
23,アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み土日休みも可,400万円～500万円,《転勤なし・希望の勤務地で活躍！》 埼玉県、東京都、千葉県、神奈川県、大阪府、岡山県、福岡県、熊本…
24,株式会社アクサス | 2020年5月新オフィス移転★前職までの給与を考慮します！★,300万円～700万円,★東京都内の案件がほとんど(現場へは直行直帰です) ※転勤なし ※U・Iターン歓迎 《本社》埼玉県…
25,アートバンライン株式会社 | 大手企業と多数取引で業績好調★売上295億円を誇る安定企業,500万円～650万円,岩手県、宮城県、栃木県、埼玉県、千葉県、神奈川県、愛知県、大阪府、岡山県、香川県、福岡県、熊本県の…
26,アートバンライン株式会社 | 大手企業と多数取引◎増車決定！月8～9日休み★土日休みも可,450万円～550万円,《転勤なし》埼玉県、千葉県、神奈川県、愛知県、大阪府、福岡県、熊本県の各拠点 ※勤務地はご希望にそ…
27,株式会社手なおし屋 | ◆年間休日120日以上◆平均月収40万円～50万円◆基本定時退社,400万円～500万円,◎伊勢崎支店／群馬県伊勢崎市宮子町3410-3 D号 ◎町田支店／東京都町田市中町1-8-2（昨年…
28,株式会社マイプレシャス | 《目指すは年商100億円！社員想いの会社》※多彩なキャリアあり,400万円～600万円,【横浜本社】もしくは【東京支店】へ配属 ※希望を考慮／原則転勤なし ※横浜本社で積極採用中！ ◆…
29,株式会社RiseConnect | 大阪府緊急雇用対策に賛同<6/26(土)マイナビ転職フェアに参加！>,350万円～1000万円,【アクセス◎堺筋本町駅すぐ！】 ＜大阪本社＞ 大阪市中央区安土町2丁目2-15 ハウザー堺筋本町駅…
